,ICD11_Code,Ayurveda_NAMC_CODE,Siddha_NAMC_CODE,Unani_NUMC_CODE,ICD11_Title
8741,EE40.2,ABC-7,BUB1.4,J-54.1,Atrophic scarring of the skin
8742,EE40.3,SR85(CC-1),BSB1.1,JA,Skin fragility
8743,EE40.30,SR85(CC-1),BTA1.1,JA,Geneticallydetermined skin fragility
8744,EE40.31,SP9A (MD-11),BUA1.3,JA,Agerelated skin fragility
8745,EE40.32,SM53 (EE-3),BVA1.1,M-5.21,Purpura or bruising due to vascular fragility
8746,EE40.Y,SN49(ED-4.4),BQC1.1,M-1.4,Other specified atrophy or degeneration of dermal or subcutaneous connective tissue
8747,EE40.Z,SN49(ED-4.4),BQC1.1,M-1.4,"Atrophy or degeneration of dermal or subcutaneous connective tissue, unspecified type"
8748,EE41,ED-6,RQA1.3,JA,Abnormalities of dermal elastin
8749,EE41.0,SS2A (RD-9),MEA1.1,F-13,Cutis laxa
8750,EE41.1,LA-2.11,BFA1.1,M-18.7,Anetoderma
8751,EE41.Y,ED,BQC1.1,JA,Other specified dermatoses characterised by abnormal dermal elastin
8752,EE41.Z,ED-6,BQC1.1,JA,"Abnormalities of dermal elastin, unspecified"
8753,,PE-4.7,BFA1.1,F-69.1,Poikiloderma
8754,EE50,,BFA1.1,J-11,Acquired poikiloderma
8755,,ED-6,BUB1.6,M-16.9,Fibromatoses or keloids
8756,EE60,ED-6,BUB1.5,B-12.2.1,Keloid or hypertrophic scars
8757,EE60.0,SP70 (EE-4.4),BUB1.6,O-163,Keloid
8758,EE60.00,SK89 (JA-6),HBC1.9,C-17,Earlobe keloid
8759,EE60.0Y,ED-6,BUB1.6,M-11.9,Other specified keloid
8760,EE60.0Z,SP70 (EE-4.4),BUB1.6,B-3.1,"Keloid, unspecified"
8761,EE60.1,ABC-7,MDC1.4,B-59.3,Hypertrophic scar
8762,EE60.Y,ED-6,BUB1.6,P,Other specified keloidal disorders
8763,EE61,ED-6,BKA1.1,M-16.9,Superficial fibromatoses
8764,EE6Y,ED-6,BMB1.1,JA,Other specified fibromatous disorders of skin or soft tissue
8765,EE6Z,ED-6,BMB1.1,J-54.1,"Fibromatosis of skin or soft tissue, unspecified"
8766,EE70,ABC-7,BQC1.1,JA,Perforating dermatoses
8767,EE70.0,ABC-7,BQC1.1,M-1.3,Acquired perforating dermatosis
8768,EE70.Y,ABC-7,BQC1.1,JA,Other specified perforating dermatoses
8769,EE70.Z,ABC-7,BQC1.1,M-11,"Perforating dermatoses, unspecified"
8770,EE7Y,SW-6,BQC1.1,JA,Other specified disorders of cutaneous connective tissue
8771,,ED,TAB1.3,JA,Histiocyticgranulomatous disorders of the skin
8772,EE80,ED,BSA1.3,JA,Necrobiotic granulomatous skin disorders
8773,EE80.0,LE-1,BMB1.1,B-18.1,Granuloma annulare
8774,EE80.1,SP70 (EE-4.4),YB5,CF,Necrobiosis lipoidica
8775,EE80.Z,ED,YB1,JA,"Necrobiotic granulomatous skin disorders, unspecified"
8776,EE81,FA-3.2,BQC1.1,JA,"Dermal dendrocyte, Class IIa histiocytoses"
8777,EE8Y,ED,TAB1.3,JA,Other specified histiocyticgranulomatous disorders of the skin
8778,EE8Z,ED,TAB1.3,JA,"Histiocyticgranulomatous disorders of the skin, unspecified"
8779,,SM01 (ED-13),GHA1.2,M-25,Benign dermal lymphocytic or lymphoplasmacytic infiltrations or proliferations
8780,EE90,SM01 (ED-13),BBB1.2,M-25,Benign lymphocytic infiltration of the skin
8781,EE91,ED,YB1,I-21,Lymphocytoma cutis
8782,,SP64 (EF-3),BSA1.3,JA,Disorders of subcutaneous fat
8783,EF00,EB-11.6,MDB1.3,J-54.1,Panniculitis
8784,EF00.0,SD-2,TAA1.3,F-111,Pancreatic enzyme panniculitis
8785,EF00.Y,SD-2,MDB1.3,J-58,Panniculitis of other specified aetiology
8786,EF00.Z,SD-2,MDB1.3,M-11,Panniculitis of undetermined or unspecified etiology
8787,EF01,SP62(BD-2),DCC1.3,N-21,Lipoatrophy or lipodystrophy
8788,EF01.0,SP70 (EE-4.4),HCC1.4,CF,Acquired partial lipodystrophy
8789,EF01.1,SP70 (EE-4.4),HBA1.4,N-21,Localised lipoatrophy or lipodystrophy
8790,EF01.Y,SP62(BD-2),YB8,N-21,Other specified forms of lipodystrophy and lipoatrophy
8791,EF01.Z,SP62(BD-2),DCC1.3,C-70,"Lipodystrophy or lipoatrophy, unspecified"
8792,EF02,SP64 (EF-3),BSA1.3,JA,Certain noninflammatory disorders of subcutaneous fat
8793,EF02.0,SP62(BD-2),RGC1.2,O-22.2,Fat hypertrophy
8794,EF02.1,SP70 (EE-4.4),HCB1.2,CF,Subcutaneous lipomatosis
8795,EF02.2,SM1L (GA-3),HCC1.4,C-69,Lipoedema
8796,EF02.3,SP70 (EE-4.4),BFB1.3,F-69.1,Cellulite
8797,EF02.Y,SP64 (EF-3),BSA1.3,JA,Other specified noninflammatory disorders of subcutaneous fat
8798,EF02.Z,SP64 (EF-3),BSA1.3,JA,"Noninflammatory disorders of subcutaneous fat, unspecified"
8799,EF0Y,SP64 (EF-3),BSA1.3,CF,Other specified disorders of subcutaneous fat
8800,,SM01 (ED-13),BBB1.2,JA,Disorders of cutaneous blood and lymphatic vessels
8801,,FA-3.2,BQC1.1,M-1.3,Malformations involving cutaneous blood vessels
8802,EF20,FA-3.2,BQC1.1,M-1.3,Acquired malformations of cutaneous blood vessels
8803,EF20.0,SL71 (K-12),SAC1.9,O-23.10,Venous lake
8804,EF20.1,PE-1.2.1.2,PCD1.4,M-16.13,Angiokeratoma
8805,EF20.2,FA-3.2,SAJ1.7,M-28,Lower limb venous telangiectases
8806,EF20.3,O-46.4,YB1,N-14,Spider telangiectasis
8807,EF20.4,VB-1,MDC1.2,P-3,Generalised essential telangiectasia
8808,EF20.Y,FA-3.2,BQC1.1,M-1.3,Other specified acquired malformations of cutaneous blood vessels
8809,EF20.Z,FA-3.2,BQC1.1,M-16.13,"Acquired malformations of cutaneous blood vessels, unspecified"
8810,EF2Z,SL71 (K-12),BQC1.1,M-5.21,"Cutaneous vascular malformation, unspecified"
8811,,SP90 (EI-4.13),YD20,M-11.10,Purpura or bruising
8812,EF30,SP90 (EI-4.13),AAA1.1,H-21,Purpura or bruising due to disorders of coagulation
8813,EF31,SP90 (EI-4.13),UBA1.8,M-5.9,Traumatic purpura
8814,EF3Y,SP90 (EI-4.13),UBA1.8,M-11.10,Other specified purpura
8815,EF3Z,U-6,UBA1.8,M-11.10,Purpura of unspecified aetiology
8816,EF40,AAE-7,BQC1.1,JA,Vasculitis or capillaritis involving the skin
8817,EF40.0,O-46.1,SAE1.12,E-46,Capillaritis
8818,EF40.1,SL70 (EE-4.5),BQC1.1,M-10.2,Vasculitis affecting small cutaneous blood vessels
8819,EF40.10,SI-1.8,WBC1.5,M-18.7,Urticarial vasculitis
8820,EF40.1Y,AAE-15,BQC1.1,M-10.2,Other specified vasculitis affecting small cutaneous blood vessels
8821,EF40.2,ED,BQC1.1,M-1.9,Localised cutaneous vasculitis
8822,EF40.20,SN4V (O-35),SAA1.5,J-54.1,Granuloma faciale
8823,EF40.2Y,ED,BQC1.1,M-1.9,Other specified localised cutaneous vasculitis
8824,EF40.Z,ED,BQC1.1,J-54.1,Cutaneous vasculitis unspecified
8825,,SN49(ED-4.4),BQC1.1,JA,Dermatoses attributable to hyperviscosity or microvascular occlusion
8826,EF50,SR4C(BF-1),CAA1.4,E-43,Livedoid vasculopathy
8827,EF5Y,ED,BQC1.1,JA,Other specified dermatoses attributable to hyperviscosity or microvascular occlusion
8828,,FA-3.2,BQC1.1,JA,Dermatoses resulting from vascular insufficiency
8829,EF60,K-5,BSA1.3,J-54.1,Ischaemic ulceration of skin
8830,,FA-3.2,TAB1.3,JA,Dermatoses due to venous disease
8831,EF70,SL70 (EE-4.5),TAA1.5,M-5.21,Lower limb venous eczema
8832,EF7Y,FA-3.2,TAB1.3,JA,Other specified dermatoses due to venous disease
8833,EF7Z,FA-3.2,BQC1.1,JA,"Dermatoses due to venous disease, unspecified"
8834,EF9Y,FA-3.2,BQC1.1,JA,Other specified dermatoses resulting from vascular insufficiency
8835,,SS-3.1,BSA1.3,JA,Functional vascular disorders of the skin
8836,EG00,SK54 (O-28),TNA1.1,O-22.1.3.4,Vasodilatation of extremities
8837,EG01,SM1H (GC-9),TNA1.1,O-22.1.3.4,Vasoconstriction of extremities
8838,EG02,SI-2.3.9,DAC1.2,K-1.1.17,Flushing disorders
8839,,EC-8,BQC1.1,JA,Skin disorders involving certain specific body regions
8840,,PE-1.4.1.4,TNA1.4,JA,Skin disorders involving the head and neck
8841,EG30,SN70 (O-7),BIA1.1,JA,Skin disorders localised to the scalp
8842,EG30.0,SN70 (O-7),BMB1.1,AA,Scalp folliculitis
8843,EG30.1,SN70 (O-7),TAA1.6,J-58,Erosive pustular dermatosis of scalp
8844,EG30.2,EK-4.10.1,BAA1.1,M-38,Pityriasis amiantacea
8845,EG30.Y,PA-12,BLA1.1,AA,Other specified scalp disorders not elsewhere classifiable
8846,EG30.Z,SN70 (O-7),BIA1.1,JA,"Skin disorders localised to the scalp, unspecified"
8847,,SK89 (JA-6),BIA1.10,CA,Disorders of the external ear involving the skin
8848,,SK89 (JA-6),BIA1.10,C-8,Inflammatory disorders of the external ear
8849,EG40,SK89 (JA-6),HBB1.2,CA,Contact dermatitis of external ear
8850,EG40.0,SK89 (JA-6),HBB1.2,CA,Allergic contact dermatitis of external ear
8851,EG4Y,SK89 (JA-6),BIA1.10,C-8,Other specified inflammatory disorder of external ear
8852,EG4Z,SK89 (JA-6),BIA1.10,C-8,"Inflammatory disorder of external ear, unspecified"
8853,,EI-5.6,BQC1.1,JA,Skin disorders involving the genital and perianal regions
8854,,NB-3.1,BQC1.1,FF,"Dermatoses of the anus, perianal area or perineum"
8855,EG60,LA-2.4,BQC1.1,F-95.3,Anal pruritus
8856,EG61,NB-3.1,RPA1.4,FF,Infections of the anus or perianal skin
8857,EG62,SM50 (AAB-35),BMB1.1,JB,Inflammatory dermatoses of the perianal area
8858,EG63,K-1.1.1,BUB1.6,F-114,Sacrococcygeal pilonidal disease
8859,EG63.0,SK97 (I-4),SBC3.2,F-114,Sacrococcygeal pilonidal sinus
8860,EG63.1,SP70 (EE-4.4),SBB4.1,F-114,Sacrococcygeal pilonidal cyst
8861,EG63.2,ED-9.7,SBC3.2,M-26,Sacrococcygeal pilonidal abscess
8862,EG63.Z,K-1.1.1,BUB1.6,F-114,"Sacrococcygeal pilonidal disease, unspecified"
8863,EG7Y,EI-5.6,BQC1.1,JA,Other specified skin disorders involving the genital and perianal regions
8864,EG9Y,SS-3.1,BQC1.1,JA,Skin disorders involving other specific body regions
8865,EG9Z,ED,BQC1.1,JA,"Skin disorders involving certain specific body regions, unspecified"
8866,,SS-3.1,QAB1.2,JA,"Skin disorders associated with pregnancy, the neonatal period or infancy"
8867,,SS-3.1,BQC1.1,JA,Skin disorders specific to the perinatal or neonatal period
8868,,SN4P (O-46),BAA1.1,JA,Neonatal skin infection
8869,EH10,SN4P (O-46),TMA1.6,I-26,Neonatal viral infections involving the skin
8870,EH11,SN4P (O-46),TMA1.6,JA,Neonatal pyogenic skin infections
8871,EH12,ED,YB5,JA,Neonatal fungal infections involving the skin
8872,EH1Z,SN4P (O-46),TMA1.6,JA,"Neonatal skin infection, unspecified"
8873,EH3Y,SS-3.1,BQC1.1,JA,Other specified skin disorders specific to the perinatal or neonatal period
8874,EH40,ED,TAA1.4,JA,Dermatoses of infancy
8875,EH40.0,ED,TAA1.4,J-54.1,Infantile seborrhoeic dermatitis
8876,EH40.00,SK51(AAC-35),SBD1.1,L-11,Cradle cap
8877,EH40.01,ED,BAA1.1,M-11,Disseminated infantile seborrhoeic dermatitis
8878,EH40.02,ED-8.2,BDB1.1,JA,Psoriasiform napkin dermatitis
8879,EH40.0Z,ED,BQC1.1,M-11,"Infantile seborrhoeic dermatitis, unspecified"
8880,EH40.1,ED-8.2,BSA1.3,JA,Infantile napkin dermatoses
8881,EH40.10,ED-8.2,BSA1.3,J-52,Primary irritant napkin dermatitis
8882,EH40.1Y,MB-1,BSA1.3,A-38.6,Other specified infantile napkin dermatoses
8883,EH40.1Z,ED,BSA1.3,M-11,"Infantile napkin dermatoses, unspecified"
8884,EH40.2,EE-2.7,YF37,J-6,Erythrodermas of infancy
8885,EH40.3,K-7,TAA1.5,B-69,Acute haemorrhagic oedema of infancy
8886,EH40.Y,ED,TAA1.4,JA,Other specified dermatoses of infancy
8887,EH40.Z,ED,TAA1.4,JA,"Dermatoses of infancy, unspecified"
8888,,AAE-7,YF38,JB,Adverse cutaneous reactions to medication
8889,,ED-6.3,HBC1.10,JC,Drug eruptions
8890,EH60,SN92(ED-2.9),YF38,JC,Exanthematic drug eruption
8891,EH61,PE-6.20.1,YD19,C-38,"Druginduced urticaria, angioedema or anaphylaxis"
8892,EH61.0,PE-6.20.1,YD19,C-38,Druginduced urticaria
8893,EH61.1,SQ-2,RRB1.1,M-10.2,Druginduced angioedema
8894,EH62,PA-5,TAB1.3,JC,Lichenoid drug eruption
8895,EH63,PE-2.13,WAB1.5,JA,StevensJohnson syndrome and toxic epidermal necrolysis due to drug
8896,EH63.0,ED-4.4.6,YB1,AC,Druginduced StevensJohnson syndrome
8897,EH63.1,ED-4.1,BWB1.4,O-376,Druginduced toxic epidermal necrolysis
8898,EH63.2,PE-2.13,BWB1.4,JA,Druginduced StevensJohnson and toxic epidermal necrolysis overlap syndrome
8899,EH64,SS-3.1,YF37,M-18.7,Druginduced erythroderma
8900,EH65,SI-1.7,WBD1.3,P,DRESS syndrome
8901,EH66,PA-5,YF38,JC,Fixed drug eruption
8902,EH67,PA-17,HAC1.3,JA,Acne or acneiform reactions attributable to drugs
8903,EH67.0,EB-2.8,YB6,F-83.9,Druginduced acute generalised exanthematous pustulosis
8904,EH67.Y,PA-17,HAC1.3,JA,Other specified acne or acneiform reactions attributable to drugs
8905,EH67.Z,PA-17,HAC1.3,JA,"Acne or acneiform reactions attributable to drugs, unspecified"
8906,EH6Y,PA-5,YF38,JC,Drug eruption of other specified type
8907,EH6Z,PA-5,YF38,JC,Drug eruption of unspecified type
8908,EH70,SN41 (AAB-27),ABB1.5,J-13,Pigmentary abnormalities of skin due to drug
8909,EH71,SS-3.1,BSA1.3,JA,Dermatoses precipitated by drug therapy
8910,EH72,SN90 (O-39),BUA1.2,JD,Druginduced hair abnormalities
8911,EH72.0,SN90 (O-39),BUA1.2,J-23,Druginduced alopecia
8912,EH72.00,RC-1,BUA1.2,J-22,Druginduced telogen hair loss
8913,EH72.01,EC-5.8,YF34,O-403,Druginduced anagen effluvium
8914,EH72.Y,PA-12,BUA1.2,JD,Other specified druginduced hair abnormalities
8915,EH72.Z,PA-12,BUA1.2,JD,"Druginduced hair abnormalities, unspecified"
8916,EH73,O-19.3,BDB1.1,JE,Druginduced nail abnormalities
8917,EH74,PA-9,BFC1.3,,Druginduced oral conditions
8918,EH75,SG-3.14,NAA1.11,O-603,Photosensitivity due to drug
8919,EH76,AAE-7,BSA1.3,JA,Dermatoses associated with specific classes of medication
8920,EH76.0,ED,TAA1.2,M-5.16,Dermatoses resulting from cytotoxic or cancer chemotherapy
8921,EH76.1,ED,BQC1.1,JA,Dermatoses resulting from immunosuppressive therapy
8922,EH76.2,ABC-7,BDB1.1,JA,Dermatoses attributable to corticosteroid therapy
8923,EH76.3,AAE-7,YF38,JE,Dermatoses resulting from anticoagulant therapy
8924,EH76.Y,AAE-7,BSA1.3,JA,Dermatosis associated with other specific classes of medication
8925,EH77,AAE-7,YF38,O-376,Localised adverse cutaneous reactions to administration of drug
8926,EH78,AAE-7,BSA1.3,JA,"Adverse cutaneous reactions to herbal, homoeopathic or other alternative therapies"
8927,EH7Y,AAE-7,YF38,JB,Other specified adverse cutaneous reactions to medication
8928,EH7Z,AAE-7,YF38,M-11,Unspecified adverse cutaneous reactions to medication
8929,,EC-8,BSA1.3,JA,Skin disorders provoked by external factors
8930,EH90,SM56(ED-9.7.1),BWB1.1,C-65,Pressure ulceration
8931,EH90.0,SM56(ED-9.7.1),BWB1.1,M-5.15,Pressure ulceration grade 1
8932,EH90.1,SM56(ED-9.7.1),BWB1.1,C-65,Pressure ulceration grade 2
8933,EH90.2,SM56(ED-9.7.1),BWB1.1,C-65,Pressure ulceration grade 3
8934,EH90.3,SM56(ED-9.7.1),BWB1.1,M-5.15,Pressure ulceration grade 4
8935,EH90.4,SP92 (EK-3),SAA1.2,M-15.1,"Suspected deep pressureinduced tissue damage, depth unknown"
8936,EH90.5,SM56(ED-9.7.1),BWB1.1,M-5.15,"Pressure ulceration, ungradable"
8937,EH90.Z,SL71 (K-12),BWB1.1,M-5.4,Pressure ulcer of unspecified grade
8938,EH92,SR85(CC-1),BWB1.1,M-32,Dermatoses provoked by friction or mechanical stress
8939,EH92.0,SK6V (HE-2),BCA1.1,B-80,Corns or callosities
8940,EH92.00,SK6T (HD-10),BCA1.1,B-12.1.4,Hard corn
8941,EH92.01,SK6T (HD-10),BCA1.1,B-12.1.4,Soft corn
8942,EH92.0Z,SL03(EA-5),DAA1.2,C-123,"Callosity, unspecified"
8943,EH92.1,ED-4.4.3,RFB1.2,M-20,Friction blister
8944,EH92.Y,SR85(CC-1),BWB1.1,M-32,Other specified skin damage due to repetitive friction or mechanical trauma
8945,EH93,LH,HBB1.2,JA,Dermatoses due to foreign bodies
8946,EH93.0,SN40 (O-38),YD33,J-9,Tattoos or tattoo reactions
8947,EH93.1,SP99(ED-2.2),BUB1.3,C-19,Foreign body reaction to inorganic matter in the skin
8948,EH93.2,SP99(ED-2.2),EBB1.2,JA,Foreign body reaction to organic matter in the skin
8949,EH93.3,ED,BKA1.1,J-54.1,Foreign body granuloma of skin
8950,EH93.Y,SN4P (O-46),BUB1.3,JA,Other specified reaction to foreign body in the skin
8951,EH93.Z,LH,HBB1.2,JA,"Dermatoses due to foreign bodies, unspecified"
8952,EH94,ED,BUB1.4,M-11,"Scar of skin, not elsewhere classified"
8953,,EM-5.12,TAB1.3,K-1.1.17,Dermatoses provoked or exacerbated by exposure to cold
8954,EJ0Y,EM-5.12,TAB1.3,K-1.1.17,Other specified dermatoses provoked or exacerbated by exposure to cold
8955,,PA-10,BWB1.4,M-29.2,Dermatoses provoked by heat or electricity
8956,EJ10,PE-4.32,NAB1.12,M-18.7,Erythema ab igne
8957,EJ1Y,PA-10,BWB1.4,M-29.2,Other specified dermatoses provoked by heat or electricity
8958,,SN41 (AAB-27),BUB1.2,M-29.2,Dermatoses provoked by light or UV radiation
8959,,SN41 (AAB-27),BIA1.1,M-29.2,Chronic effects of ultraviolet radiation on the skin
8960,EJ20,SN4A(ED-4.2.7),BSA1.3,JA,Photoaging of the skin
8961,EJ20.0,LA-2.7,BSB1.1,C-97.1,Actinic elastosis
8962,EJ20.1,ED-6,RFA1.5,F-96.3,Actinic lentigo
8963,EJ20.2,ED-6,RFA1.5,B-59.5,Actinic lentiginosis
8964,EJ20.3,LH-4.9,NDA1.9,BL,Actinic telangiectasia
8965,EJ20.Z,SN41 (AAB-27),BSA1.3,JA,"Photoaging of the skin, unspecified"
8966,EJ2Y,SN41 (AAB-27),BUB1.3,M-29.2,Other specified chronic effects of ultraviolet radiation on the skin
8967,EJ30,ED-6,TAA1.3,BL,Autoimmune or other photodermatoses
8968,EJ30.0,PB-3,BOA1.1,J-67.2,Polymorphic light eruption
8969,EJ30.1,ED-6,BUB1.3,JA,Chronic actinic dermatitis
8970,EJ30.Y,ED-6,NAA1.8,BL,Other specified photodermatoses
8971,EJ30.Z,ED-6,YB1,BL,"Photodermatoses, unspecified"
8972,,SN41 (AAB-27),BIA1.1,M-29.2,Acute effects of ultraviolet radiation on normal skin
8973,EJ40,SN40 (O-38),Z77,M-29.2,Sunburn
8974,EJ40.0,PA-17,BSA1.5,M-29.2,Sunburn erythema
8975,EJ40.1,PA-17,RFB1.2,M-29.2,Sunburn with blisters or exudation
8976,EJ40.Z,PA-17,BQC1.1,M-29.2,"Sunburn, unspecified"
8977,EJ41,SN40 (O-38),BWB1.4,M-29.2,Burn from exposure to artificial source of ultraviolet radiation
8978,EJ41.0,SN40 (O-38),BWB1.4,M-29.2,Burn from exposure to therapeutic ultraviolet radiation
8979,EJ41.Y,SN40 (O-38),BWB1.4,M-29.2,Other specified burn from exposure to artificial source of ultraviolet radiation
8980,EJ41.Z,SN40 (O-38),BWB1.4,M-29.2,"Burn from exposure to artificial source of ultraviolet radiation, unspecified"
8981,EJ4Z,SN41 (AAB-27),ABB1.7,M-29.2,"Acute effects of ultraviolet radiation on normal skin, unspecified"
8982,EJ6Y,SN41 (AAB-27),BUB1.2,M-29.2,Other specified dermatoses provoked by light or UV radiation
8983,,AAE-7,TAA1.4,M-29.4,Dermatoses due to ionizing radiation
8984,EJ71,AAE-7,BUB1.3,M-29.2,Chronic effects of ionizing radiation on the skin
8985,EJ7Z,AAE-7,TAA1.4,M-29.4,"Dermatoses due to ionizing radiation, unspecified"
8986,EK00,PE-6.20.1,HBB1.11,C-38,Allergic contact dermatitis
8987,EK00.0,SN44(ABB-2),BWB1.3,M-33,Allergic contact dermatitis due to clothing or footwear
8988,EK00.1,PE-6.20.1,HBB1.11,C-38,Allergic contact dermatitis due to cosmetics or fragrances
8989,EK00.2,PE-6.20.1,HBB1.11,C-38,Allergic contact dermatitis due to dental materials
8990,EK00.3,AB-1,EHB1.1,C-38,Allergic contact dermatitis due to food flavours or additives
8991,EK00.4,PE-4.18,BUA1.1,JD,Allergic contact dermatitis due to hairdressing products
8992,EK00.5,ED-4.1,BSA1.3,JA,"Allergic contact dermatitis due to industrial biocides, cutting oils or disinfectants"
8993,EK00.6,PE-6.25.1,NDD1.1,O-419,Allergic contact dermatitis due to metals or metal salts
8994,EK00.7,PE-4.18,TAA1.6,C-38,Allergic contact dermatitis due to allergenic haptens derived from plants or organic matter
8995,EK00.8,PE-6.20.1,HBB1.11,JA,"Allergic contact dermatitis due to plastics, glues or resin systems"
8996,EK00.9,ED-4.1,BSA1.3,C-38,Allergic contact dermatitis due to preservatives or biocides
8997,EK00.A,PE-6.20.1,HBB1.11,C-38,Allergic contact dermatitis due to rubber chemicals
8998,EK00.B,AAE-7,NDD1.1,C-38,Allergic contact dermatitis due to systemic medicaments
8999,EK00.C,PE-6.20.1,BSA1.3,C-38,Allergic contact dermatitis due to topical medicaments
9000,EK00.Y,PE-6.20.1,BUB1.3,C-38,Other specified allergic contact dermatitis
9001,EK00.Z,PE-6.20.1,BSA1.3,JA,"Allergic contact dermatitis, unspecified"
9002,EK01,SS-3.1,HBB1.11,JA,Photoallergic contact dermatitis
9003,EK02,ED-8.2,BSA1.3,JA,Irritant contact dermatitis
9004,EK02.0,AAE-7,YF37,JA,Irritant contact dermatitis from specified external agents
9005,EK02.00,ED-4.4.1,BSA1.3,M-32,Irritant contact dermatitis due to wet work
9006,EK02.01,AAE-7,BSA1.3,JA,Irritant contact dermatitis due to solvents
9007,EK02.02,PA-17,HBB1.11,J-52,"Irritant contact dermatitis due to exposure to acids, alkalis or other specified chemical irritants"
9008,EK02.03,AAE-7,BSA1.3,JA,Irritant contact dermatitis due to cosmetics or emollients
9009,EK02.04,AAE-7,BSA1.3,JA,Irritant contact dermatitis due to topical medicaments or antimicrobials
9010,EK02.05,AAE-7,BUB1.3,J-53,Irritant contact dermatitis due to plants or other vegetable matter
9011,EK02.06,AAE-7,BSA1.3,JA,Irritant contact dermatitis due to foods
9012,EK02.2,SN44(ABB-2),BSA1.3,M-32,"Irritant contact dermatitis due to friction, sweating or contact with body fluids"
9013,EK02.20,SR85(CC-1),BSA1.3,M-32,"Intertriginous dermatitis due to friction, sweating or contact with body fluids"
9014,EK02.21,VG-7,YB2,C-74,Irritant contact dermatitis due to saliva
9015,EK02.22,ED-16.2,GHA1.1,M-33,Irritant contact dermatitis due to incontinence
9016,EK02.23,ABC-7,YB1,J-63,Irritant contact dermatitis related to stoma or fistula
9017,EK02.24,PA-10,BSA1.3,M-32,Irritant contact dermatitis related to skin contact with prostheses or surgical appliances
9018,EK02.Y,SN4N (O-36),BSA1.3,JA,Irritant contact dermatitis due to other specified cause
9019,EK02.Z,ED-8.2,BSA1.3,JA,"Irritant contact dermatitis, unspecified"
9020,EK10,PE-6.20.1,YD19,C-38,Allergic contact urticaria
9021,EK10.0,EB-5.1,YB2,CC,Oral allergy syndrome
9022,EK10.1,EC-3.21,TAB1.3,C-38,Contact urticaria due to food allergen
9023,EK10.Y,PE-6.20.1,YD19,C-38,Other specified allergic contact urticaria
9024,EK10.Z,PE-6.20.1,YD19,C-38,"Allergic contact urticaria, unspecified"
9025,EK11,ED-6,BSA1.3,JA,Protein contact dermatitis
9026,EK12,ED-4.4.1,NDD1.1,C-38,Allergic contact sensitisation
9027,,AAE-7,BSA1.3,M-29.2,Phototoxic reactions to skin contact with photoactive agents
9028,EK20,ABB-38,EHD1.1,M-29.2,Phototoxic reaction to fragrance or cosmetics
9029,EK2Y,AAE-7,NAA1.11,M-29.2,Phototoxic reaction to skin contact with other specified photoactive agent
9030,EK2Z,AAE-7,TAA1.4,JA,"Phototoxic dermatitis, unspecified"
9031,EK50,PE-6.20.3,YD2,M-1.7,Cutaneous reactions to venomous or noxious animals
9032,EK50.0,PE-6.20.3,YD20,M-1.7,Cutaneous insect bite reactions
9033,EK50.00,EC-3.21,BFA1.4,J-56.4,Papular urticaria
9034,EK50.01,PE-6.20.3,YD20,M-1.7,Bullous insect bite reaction
9035,EK50.02,PE-6.20.3,YD20,NB,Persistent insect bite reaction
9036,EK50.0Y,PE-6.20.3,YD20,M-1.7,Other specified cutaneous insect bite reactions
9037,EK50.0Z,PE-6.20.3,YD20,M-1.7,"Cutaneous insect bite reactions, unspecified"
9038,EK5Y,EC-8,BUB1.3,JA,Other specified skin disorders provoked by external factors
9039,,ED,BQC1.1,M-16.16,"Benign proliferations, neoplasms and cysts of the skin"
9040,EK70,SN4N (O-36),BQC1.1,J-54.1,Cutaneous cysts
9041,EK70.0,SN4N (O-36),NCC1.3,M-16.16,Epidermoid cyst
9042,EK70.00,ED,BQC1.1,M-16.16,Infected epidermoid cyst
9043,EK70.0Z,SP70 (EE-4.4),BQC1.1,M-16.16,"Epidermoid cyst, unspecified"
9044,EK70.1,PA-30,NCC1.3,J-6,Trichilemmal cyst
9045,EK70.2,EI-5.6,BJA1.1,C-51,Digital myxoid pseudocyst
9046,EK70.3,PA-13,BJA1.1,AA,Hidrocystoma
9047,EK70.Y,ED,NBC1.4,M-11,Other specified cutaneous cysts
9048,EK70.Z,ED,BQC1.1,M-11,"Cutaneous cysts, unspecified"
9049,EK71,ABC-7,BSB1.1,JA,Skin tags or polyps
9050,EK71.0,ED-6,BMB1.1,F-96.3,Fibroepithelial polyp of skin
9051,EK71.1,SN4B(ED-4.3.1),BTA1.1,JA,Multiple skin tags
9052,EK71.Z,ED-6,BMB1.1,F-96.3,Polyp of skin not elsewhere classified
9053,,ED,BQC1.1,JA,Disorders of the skin of uncertain or unpredictable malignant potential
9054,EK90,ED-6,BQC1.1,JA,Actinic keratosis and other discrete epidermal dysplasias
9055,EK90.0,ED-6,NDA1.9,B-3.2,Actinic keratosis
9056,EK90.1,ED-6,BQC1.1,JA,Diffuse actinic keratinocyte dysplasia
9057,EK90.Y,ED,BUB1.6,JA,Other discrete epidermal dysplasias
9058,EK91,ED,BQC1.1,JA,Dermatoses which may presage cutaneous lymphoma
9059,EK91.0,AAE-7,BDB1.1,E-44,Large plaque parapsoriasis
9060,EK91.1,ED-10.12,TAB1.3,M-16.13,Poikiloderma vasculare atrophicans
9061,EK91.2,AAE-7,BQC1.1,M-5.16,Primary cutaneous plasmacytosis
